S.N,SECURITY_ID,SYMBOL,SECURITY_NAME
159,2934,SHEL,Singati Hydro Energy Limited
160,3946,CHDC,CEDB Hydropower Development Company Limited
161,4947,PSF,Prabhu Select Fund
162,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited
163,8038,JALPA,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited
164,134,HBL,Himalayan Bank Limited
165,192,SICL,Shikhar Insurance Co. Ltd.
166,244,SIFC,Shree Investment Finance Co. Ltd.
167,401,MLBL,Mahalaxmi Bikas Bank Ltd.
168,472,SADBL,Shangrila Development Bank Ltd.
169,474,MNBBL,Muktinath Bikas Bank Ltd.
170,610,RIDI,Ridi Power Company Limited
171,2760,UMHL,United Modi Hydropower Ltd.
172,2774,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited
173,2780,CMF1,Citizens Mutual Fund -1
174,2862,CMF2,CITIZENS MUTUAL FUND 2
175,2882,ICFCD83,12% ICFC Finance Limited Debenture 2083
176,2913,MEN,Mountain Energy Nepal Limited
177,2935,RURU,Ru Ru Jalbidhyut Pariyojana Limited
178,8004,GBILD86/87,Global IME Bank Limited Debenture 2086/87
179,8022,TPC,Terhathum Power Company Limited
180,8025,SPC,Samling Power Company Limited
181,8045,GVL,Green Ventures Limited
182,8104,USHEC,Upper Solu Hydro Electric Company Limited
183,8122,PPL,People's Power Limited
184,140,MBL,Machhapuchhre Bank Limited
185,154,CHCL,Chilime Hydropower Company Limited
186,204,GUFL,Gurkhas Finance Ltd.
187,250,JFL,Janaki Finance Company Limited
188,338,PROFL,Progressive Finance Limited
189,357,PCBL,Prime Commercial Bank Ltd.
190,417,GBBL,Garima Bikas Bank Limited
191,418,JBBL,Jyoti Bikas Bank Limited
192,428,KRBL,Karnali Development Bank Limited
193,471,MPFL,Multipurpose Finance Company  Limited
194,490,FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited
195,694,KLBSL,Kisan Lagubitta Bittiya Sanstha Limited
196,2757,AKPL,Arun Kabeli Power Ltd.
197,2769,NHDL,Nepal Hydro Developers Ltd.
198,2790,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited
199,4968,RMF1,RBB Mutual Fund 1
200,8041,NESDO,NESDO Sambridha Laghubitta Bittiya Sanstha Limited
201,8066,RFPL,River Falls Power Limited
202,8070,DORDI,Dordi Khola Jal Bidyut Company Limited
203,8097,PBD88,10% Prime Debenture 2088
204,133,SCB,Standard Chartered Bank Limited
205,137,EBL,Everest Bank Limited
206,227,BFC,Best Finance Company Ltd.
207,274,EDBL,Excel Development Bank Ltd.
